"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.678582515E0,5.027823448E-1,-4.070143029E-2,9.926360130E0
1.688592281E0,4.692635238E-1,-2.154781483E-2,9.909601212E0
1.698602047E0,4.740519226E-1,1.436521020E-2,9.859322548E0
1.710564937E0,5.195417404E-1,5.506663769E-2,9.911994934E0
1.720574703E0,5.123591423E-1,2.394201700E-3,9.806650162E0
1.732537594E0,4.357447028E-1,-3.112462163E-2,9.765948296E0
1.742547359E0,4.572925270E-1,-5.267243832E-2,9.804255486E0
1.752557125E0,4.668693244E-1,-5.985504389E-2,9.789890289E0
1.764520015E0,4.788403511E-1,-1.915361360E-2,9.775525093E0
1.774529781E0,4.692635238E-1,-3.591302410E-2,9.761159897E0
1.786492672E0,4.812345505E-1,-3.830722719E-2,9.809044838E0
1.798486080E0,5.099649429E-1,2.394201700E-3,9.859322548E0
1.810479488E0,5.003881454E-1,4.788403399E-3,9.842563629E0
1.820489254E0,5.027823448E-1,1.436521020E-2,9.888052940E0
1.832452144E0,5.315127969E-1,-7.182605099E-3,9.880870819E0
1.842461910E0,4.740519226E-1,-2.154781483E-2,9.856928825E0
1.854424801E0,5.315127969E-1,-2.394201700E-3,9.832986832E0
1.866418209E0,4.620809257E-1,-2.873042040E-2,9.859322548E0
1.876427974E0,3.974374831E-1,-1.101332754E-1,9.813833237E0
1.888390865E0,4.525041282E-1,-1.244984865E-1,9.828198433E0
1.900353756E0,4.309563041E-1,-1.436520964E-1,9.864110947E0
1.912316646E0,4.189853072E-1,-1.388636976E-1,9.876082420E0
1.924310054E0,4.525041282E-1,-1.388636976E-1,9.852140427E0
1.936272945E0,3.998316824E-1,-1.077390760E-1,9.861717224E0
1.948266353E0,3.950432837E-1,-9.576806426E-2,9.892841339E0
1.960198726E0,4.453215301E-1,-8.619125932E-2,9.871294022E0
1.972100582E0,4.237737060E-1,-1.221042871E-1,9.914389610E0
1.984002437E0,4.022258818E-1,-1.221042871E-1,9.986215591E0
1.995995845E0,3.830722570E-1,-1.244984865E-1,9.866505623E0
2.007958736E0,3.926490843E-1,-1.149216816E-1,9.794678688E0
2.017968502E0,4.477157295E-1,-1.029506698E-1,9.847352028E0
2.029931392E0,4.596867263E-1,-1.173158810E-1,9.840168953E0
2.041924801E0,3.926490843E-1,-1.412578970E-1,9.708487511E0
2.051934566E0,3.758896589E-1,-1.723825186E-1,9.703699112E0
2.063866939E0,4.094084799E-1,-1.436520964E-1,9.739612579E0
2.075829830E0,4.405331016E-1,-1.053448766E-1,9.844957352E0
2.085839595E0,4.165911078E-1,-1.101332754E-1,9.878476143E0
2.097802486E0,4.333505034E-1,-1.268926859E-1,9.902418137E0
2.107812252E0,4.046200812E-1,-1.532289088E-1,9.919178009E0
2.119805660E0,4.094084799E-1,-1.412578970E-1,9.957485199E0
2.131768551E0,4.644751251E-1,-1.508347094E-1,9.964667320E0
2.143761959E0,4.237737060E-1,-1.436520964E-1,9.880870819E0
2.155724849E0,4.070142806E-1,-1.556231081E-1,9.773131371E0
2.167687740E0,3.806780577E-1,-1.388636976E-1,9.792284966E0
2.179650631E0,4.165911078E-1,-1.340752989E-1,9.782708168E0
2.189660396E0,3.974374831E-1,-1.532289088E-1,9.787496567E0
2.201623287E0,3.758896589E-1,-1.819593310E-1,9.775525093E0
2.213555660E0,3.663128614E-1,-1.675941199E-1,9.868899345E0
2.225549068E0,3.734954596E-1,-1.819593310E-1,9.914389610E0
2.237511959E0,3.303998411E-1,-2.059013397E-1,1.002931118E1
2.247521724E0,2.968810201E-1,-2.035071403E-1,1.001973438E1
2.259484615E0,3.184288144E-1,-2.442085743E-1,9.986215591E0
2.271447506E0,2.920926213E-1,-2.489969730E-1,9.914389610E0
2.281457271E0,3.256114423E-1,-2.681505978E-1,9.832986832E0
2.291467037E0,3.399766386E-1,-2.753331959E-1,9.739612579E0
2.303399410E0,3.591302633E-1,-2.418143749E-1,9.780313492E0
2.315362301E0,3.734954596E-1,-2.418143749E-1,9.756371498E0
2.327355709E0,3.830722570E-1,-2.274491638E-1,9.756371498E0
2.337365474E0,3.663128614E-1,-2.106897533E-1,9.758766174E0
2.349328365E0,3.375824392E-1,-2.370259613E-1,9.852140427E0
2.359338131E0,3.591302633E-1,-2.896983922E-1,9.909601212E0
2.371301021E0,3.495534360E-1,-3.016694188E-1,9.885659218E0
2.383233394E0,3.615244627E-1,-2.777273953E-1,9.900024414E0
2.395226802E0,3.088520169E-1,-2.585737705E-1,9.892841339E0
2.407189693E0,3.399766386E-1,-2.106897533E-1,9.988609314E0
2.419122066E0,3.423708379E-1,-2.346317619E-1,9.943120003E0
2.431084957E0,3.136404157E-1,-3.040636182E-1,9.902418137E0
2.441094722E0,3.423708379E-1,-3.088520169E-1,9.878476143E0
2.453027095E0,3.950432837E-1,-2.825157940E-1,9.832986832E0
2.464959469E0,4.357447028E-1,-2.801215947E-1,9.777919769E0
2.474969234E0,4.501099288E-1,-2.537853718E-1,9.718064308E0
2.486932125E0,4.118026793E-1,-2.657563984E-1,9.684545517E0
2.496941890E0,4.189853072E-1,-2.513911724E-1,9.698910713E0
2.508935299E0,4.548983276E-1,-2.681505978E-1,9.785101891E0
2.518945064E0,4.118026793E-1,-3.016694188E-1,9.785101891E0
2.530877437E0,3.423708379E-1,-3.303998411E-1,9.847352028E0
2.542870845E0,3.758896589E-1,-3.256114423E-1,1.001733971E1
2.554864254E0,3.423708379E-1,-3.232172430E-1,1.005564690E1
2.566796627E0,3.351882398E-1,-3.878606856E-1,1.000058079E1
2.576806392E0,3.447650373E-1,-3.687070608E-1,1.005085850E1
2.588738765E0,4.022258818E-1,-3.711012602E-1,9.876082420E0
2.598748531E0,4.453215301E-1,-3.639186621E-1,9.813833237E0
2.610711422E0,3.567360640E-1,-3.543418646E-1,9.715670586E0
2.620721187E0,3.639186621E-1,-3.447650373E-1,9.727641106E0
2.632714595E0,3.998316824E-1,-3.711012602E-1,9.742006302E0
2.644708004E0,3.902548850E-1,-3.734954596E-1,9.751583099E0
2.656670894E0,3.830722570E-1,-3.878606856E-1,9.758766174E0
2.666680660E0,3.854664862E-1,-3.687070608E-1,9.811438560E0
2.678674068E0,3.854664862E-1,-3.447650373E-1,9.856928825E0
2.690636959E0,4.261679053E-1,-3.303998411E-1,9.933543205E0
2.700646724E0,4.237737060E-1,-3.351882398E-1,9.947908401E0
2.712609615E0,3.854664862E-1,-3.878606856E-1,9.902418137E0
2.722619381E0,3.687070608E-1,-4.740519226E-1,9.909601212E0
2.734582271E0,3.782838583E-1,-4.501099288E-1,9.890447617E0
2.746575679E0,3.926490843E-1,-4.046200812E-1,9.801861763E0
2.756585445E0,3.902548850E-1,-3.878606856E-1,9.756371498E0
2.768578853E0,3.591302633E-1,-3.615244627E-1,9.746794701E0
2.778588619E0,3.734954596E-1,-3.998316824E-1,9.737217903E0
2.790551510E0,3.663128614E-1,-4.189853072E-1,9.756371498E0
2.800561275E0,3.830722570E-1,-4.070142806E-1,9.842563629E0
2.812524166E0,3.782838583E-1,-4.525041282E-1,9.900024414E0
2.822533931E0,3.423708379E-1,-4.309563041E-1,9.933543205E0
2.834435787E0,3.639186621E-1,-4.429273009E-1,9.962273598E0
2.846368160E0,3.423708379E-1,-4.501099288E-1,9.902418137E0
2.858331051E0,3.280056417E-1,-4.501099288E-1,9.861717224E0
2.870324459E0,3.447650373E-1,-4.237737060E-1,9.868899345E0
2.882287349E0,3.303998411E-1,-4.668693244E-1,9.830592155E0
2.894250240E0,3.064578176E-1,-4.740519226E-1,9.785101891E0
2.906182613E0,3.136404157E-1,-4.525041282E-1,9.758766174E0
2.918114986E0,2.777273953E-1,-4.788403511E-1,9.787496567E0
2.930077877E0,2.825157940E-1,-5.027823448E-1,9.806650162E0
2.940087642E0,3.256114423E-1,-5.171475410E-1,9.854534149E0
2.952020015E0,3.112462163E-1,-5.147533417E-1,9.907206535E0
2.962029781E0,3.136404157E-1,-5.267243981E-1,9.991003990E0
2.973992672E0,3.615244627E-1,-4.932055473E-1,9.986215591E0
2.984002437E0,3.471592367E-1,-4.932055473E-1,9.923966408E0
2.995995845E0,2.992752194E-1,-5.051765442E-1,9.823410034E0
3.007989254E0,3.136404157E-1,-5.339069963E-1,9.782708168E0
3.017999019E0,3.232172430E-1,-5.339069963E-1,9.828198433E0
3.029961910E0,3.016694188E-1,-5.219359994E-1,9.799467087E0
3.039971676E0,2.968810201E-1,-5.027823448E-1,9.773131371E0
3.051934566E0,3.423708379E-1,-4.955997467E-1,9.794678688E0
3.061944332E0,3.639186621E-1,-4.860229492E-1,9.880870819E0
3.073937740E0,2.944868207E-1,-5.339069963E-1,9.859322548E0
3.085870113E0,2.777273953E-1,-5.865794420E-1,9.823410034E0
3.097863521E0,3.112462163E-1,-5.506663918E-1,9.849745750E0
3.109826412E0,2.873041928E-1,-5.123591423E-1,9.895236015E0
3.119836177E0,2.873041928E-1,-5.195417404E-1,9.902418137E0
3.131799068E0,3.399766386E-1,-5.315127969E-1,9.885659218E0
3.143761959E0,3.112462163E-1,-5.482721925E-1,9.787496567E0
3.153771724E0,2.777273953E-1,-5.410895944E-1,9.787496567E0
3.165704097E0,3.351882398E-1,-5.243301988E-1,9.813833237E0
3.177666988E0,3.280056417E-1,-5.506663918E-1,9.842563629E0
3.187676754E0,2.992752194E-1,-5.698199868E-1,9.844957352E0
3.199609127E0,2.896983922E-1,-5.650315881E-1,9.844957352E0
3.211572017E0,2.944868207E-1,-6.009446383E-1,9.828198433E0
3.221581783E0,2.968810201E-1,-5.722141862E-1,9.969455719E0
3.233575191E0,3.519476354E-1,-5.482721925E-1,9.919178009E0
3.245538082E0,2.992752194E-1,-5.578489900E-1,9.852140427E0
3.257531490E0,3.160346150E-1,-5.482721925E-1,9.782708168E0
3.269494381E0,3.399766386E-1,-5.554547906E-1,9.801861763E0
3.279504146E0,3.375824392E-1,-5.386953950E-1,9.861717224E0
3.291467037E0,3.160346150E-1,-5.698199868E-1,9.861717224E0
3.303399410E0,3.088520169E-1,-5.482721925E-1,9.768342972E0
3.313409176E0,3.447650373E-1,-5.003881454E-1,9.835380554E0
3.325372066E0,3.639186621E-1,-4.908113480E-1,9.835380554E0
3.335381832E0,3.711012602E-1,-5.267243981E-1,9.794678688E0
3.347375240E0,3.495534360E-1,-5.722141862E-1,9.821015358E0
3.359368648E0,3.687070608E-1,-6.464344859E-1,9.876082420E0
3.369378414E0,3.208230138E-1,-6.536170840E-1,9.888052940E0
3.381371822E0,3.327940404E-1,-6.320692301E-1,9.900024414E0
3.393365230E0,3.399766386E-1,-6.105214357E-1,9.866505623E0
3.405328121E0,2.873041928E-1,-6.153098345E-1,9.914389610E0
3.415337886E0,3.543418646E-1,-6.033388376E-1,9.888052940E0
3.427300777E0,3.591302633E-1,-5.650315881E-1,9.811438560E0
3.437310543E0,3.232172430E-1,-5.530605912E-1,9.746794701E0
3.449303951E0,3.160346150E-1,-5.770025849E-1,9.725247383E0
3.461266842E0,3.327940404E-1,-5.793967843E-1,9.773131371E0
3.473229732E0,3.639186621E-1,-6.224924326E-1,9.818621635E0
3.485131588E0,3.136404157E-1,-6.296750307E-1,9.849745750E0
3.497124996E0,3.327940404E-1,-6.464344859E-1,9.849745750E0
3.509118404E0,3.615244627E-1,-6.177040339E-1,9.900024414E0
3.521020260E0,3.399766386E-1,-5.722141862E-1,9.911994934E0
3.533013668E0,3.208230138E-1,-6.129156351E-1,9.861717224E0
3.545007076E0,2.753331959E-1,-6.392518282E-1,9.835380554E0
3.557000484E0,2.633621991E-1,-6.440402865E-1,9.864110947E0
3.568963375E0,3.256114423E-1,-6.607996821E-1,9.847352028E0
3.580926265E0,3.064578176E-1,-6.464344859E-1,9.763554573E0
3.590936031E0,3.088520169E-1,-6.200982332E-1,9.797073364E0
3.602898922E0,3.423708379E-1,-6.344634295E-1,9.876082420E0
3.612908687E0,3.375824392E-1,-6.200982332E-1,9.864110947E0
3.624871578E0,3.040636182E-1,-6.200982332E-1,9.883264542E0
3.634881344E0,3.136404157E-1,-6.081272364E-1,9.883264542E0
3.646874752E0,2.896983922E-1,-6.368576288E-1,9.880870819E0
3.656884517E0,2.825157940E-1,-6.584054828E-1,9.849745750E0
3.668847408E0,3.136404157E-1,-6.607996821E-1,9.854534149E0
3.678857174E0,2.753331959E-1,-6.512228847E-1,9.811438560E0
3.688866939E0,2.777273953E-1,-6.081272364E-1,9.782708168E0
3.700860347E0,2.801215947E-1,-6.560112834E-1,9.801861763E0
3.712823238E0,2.825157940E-1,-6.679822803E-1,9.842563629E0
3.722833004E0,3.064578176E-1,-6.823474765E-1,9.856928825E0
3.734795894E0,2.849099934E-1,-6.607996821E-1,9.868899345E0
3.744805660E0,2.729389966E-1,-6.512228847E-1,9.859322548E0
3.756799068E0,2.489969730E-1,-6.584054828E-1,9.871294022E0
3.768761959E0,2.633621991E-1,-6.607996821E-1,9.830592155E0
3.778771724E0,2.873041928E-1,-6.392518282E-1,9.794678688E0
3.790765133E0,2.585737705E-1,-6.440402865E-1,9.842563629E0
3.802758541E0,2.561795712E-1,-6.727706790E-1,9.868899345E0
3.812768306E0,2.801215947E-1,-6.727706790E-1,9.871294022E0
3.824761715E0,2.920926213E-1,-6.871358752E-1,9.878476143E0
3.836755123E0,2.825157940E-1,-7.038952708E-1,9.832986832E0
3.848718013E0,3.327940404E-1,-6.895300746E-1,9.828198433E0
3.858727779E0,2.753331959E-1,-6.871358752E-1,9.811438560E0
