"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.706641622E0,5.077667534E-3,-9.697973728E-3,9.086990356E-2
3.722663350E0,8.261501789E-3,-3.088182211E-2,1.188850403E-2
3.738593526E0,1.142631471E-2,-4.150003195E-2,-4.747390747E-3
3.754554219E0,6.861545146E-3,-3.849488497E-2,9.905815125E-3
3.770545430E0,-2.758502960E-3,-2.734738588E-2,5.099201202E-2
3.786567159E0,1.556341350E-2,-1.896560192E-3,1.255998611E-1
3.802558370E0,-3.776744008E-2,2.482509613E-2,8.015155792E-2
3.818549581E0,1.154169440E-4,4.476106167E-2,-1.663703918E-1
3.834540792E0,2.429972589E-2,2.658462524E-2,4.464626312E-2
3.850470967E0,6.010972708E-2,-1.037168503E-2,-1.127672195E-1
3.866401143E0,5.259238929E-2,-7.312417030E-2,1.488857269E-1
3.882361837E0,-2.130267769E-2,-3.285115957E-2,9.401226044E-2
3.898292012E0,-3.475421667E-2,3.006154299E-2,7.252216339E-2
3.914283223E0,8.551232517E-3,6.234657764E-2,-1.834392548E-2
3.930274434E0,4.414258152E-2,4.625427723E-2,-2.761268616E-2
3.946143575E0,7.565587759E-3,4.334700108E-2,5.661869049E-2
3.962165303E0,6.623759866E-3,3.329855204E-2,6.424427032E-2
3.978095479E0,-9.109042585E-3,-1.992708445E-2,2.877140045E-2
3.994086690E0,-3.697089851E-3,-5.210369825E-2,9.859943390E-2
4.010047383E0,7.215313613E-3,-3.374511003E-2,4.849338531E-2
4.026069112E0,2.415025979E-2,-3.040152788E-2,-2.323818207E-2
4.042060323E0,2.484425902E-3,-4.020750523E-3,-6.227493286E-3
4.057990499E0,-1.983740926E-2,-1.745855808E-2,9.707069397E-2
4.073981710E0,1.740217209E-3,-3.392934799E-3,9.249687195E-2
4.089911885E0,2.104184777E-2,-5.167841911E-3,-3.210067749E-3
4.105872579E0,5.563631654E-3,-1.638579369E-2,-7.494735718E-2
4.121894307E0,1.879376173E-2,-2.864909172E-2,-1.486492157E-2
4.137824483E0,4.699252546E-2,-1.193571091E-2,9.791088104E-2
4.153785176E0,3.508746624E-3,2.960300446E-2,1.674327850E-1
4.169745870E0,-4.359860718E-2,4.049849510E-2,3.563213348E-2
4.185767598E0,-1.903147250E-2,3.606796265E-3,2.834320068E-2
4.201758809E0,4.064783454E-3,-3.190875053E-3,1.454372406E-1
4.217688985E0,1.788458228E-2,-1.210820675E-2,-1.686897278E-1
4.233680196E0,5.172476172E-2,-5.516475439E-2,3.503017426E-1
4.249579854E0,4.867534339E-2,2.100557089E-2,-1.439161301E-1
4.265571065E0,-2.824914828E-2,1.133006811E-2,-2.592878342E-1
4.281531758E0,-1.708748192E-2,-2.762019634E-3,1.909236908E-1
4.297522969E0,4.899428785E-2,-4.021739960E-2,2.360267639E-1
4.313514180E0,4.034401476E-2,-2.748447657E-2,2.656173706E-2
4.329474874E0,1.301138848E-2,7.491374016E-2,-1.875743866E-1
4.345466085E0,-9.478612989E-2,9.092700481E-2,-6.795597076E-2
4.361396260E0,-4.031262919E-2,6.980139017E-2,1.454086304E-1
4.377417989E0,1.207747310E-2,-3.291070461E-3,2.817554474E-1
4.393470235E0,5.587016046E-2,-5.180042982E-2,2.065162659E-1
4.409400411E0,4.969819635E-2,-1.056374907E-1,-8.449172974E-2
4.425391622E0,3.984387964E-2,-8.089679480E-2,-1.428203583E-1
4.441352315E0,-1.764767617E-2,-3.984177113E-2,-5.467033386E-2
4.457374044E0,-3.294426948E-2,2.599966526E-2,3.835678101E-2
4.473365255E0,4.386089742E-3,4.244834185E-2,1.336364746E-1
4.489356466E0,3.245752305E-2,4.264152050E-2,6.115055084E-2
4.505378194E0,1.424193382E-2,9.008288383E-3,1.394805908E-1
4.521369405E0,3.440457582E-2,-9.035944939E-3,-1.390285492E-1
4.537330098E0,1.732314751E-2,6.730377674E-3,-7.009506226E-4
4.553321309E0,3.646269441E-2,-1.711934805E-2,1.738672256E-1
4.569312520E0,5.560725182E-2,-6.169676781E-4,-4.510021210E-2
4.585242696E0,-2.217803150E-3,2.963143587E-2,-6.737232208E-2
4.601233907E0,-2.456500940E-2,5.697131157E-2,4.460430145E-2
4.617194600E0,-3.746386617E-3,3.786462545E-2,-4.200935364E-2
4.633155294E0,7.172849029E-3,1.521366835E-2,2.232360840E-2
4.649146505E0,-8.760072291E-3,3.578817844E-2,9.385395050E-2
4.665046163E0,1.968571171E-2,1.014667749E-2,7.913875580E-2
4.681006856E0,1.417504624E-2,-1.350045204E-3,-2.355575562E-4
4.697028585E0,-5.999531597E-3,-1.282238960E-2,6.587028503E-3
4.713019796E0,3.651086241E-3,-1.530092955E-2,3.969287872E-2
4.728980489E0,3.273785114E-4,-1.202994585E-2,8.703899384E-2
4.745002217E0,2.840624005E-2,-5.277991295E-3,5.048274994E-2
4.760901876E0,2.954492345E-2,5.509436131E-3,4.978656769E-2
4.776923604E0,-1.041046530E-2,9.714841843E-3,-1.310157776E-2
4.792914815E0,7.346779108E-3,2.025139332E-2,-2.558135986E-2
4.808844991E0,1.561902463E-3,4.646092653E-2,1.950645447E-2
4.824836202E0,-1.936212182E-3,3.214204311E-2,-4.820823669E-3
4.840796895E0,-3.705593944E-2,3.387475014E-2,8.332920074E-2
4.856788106E0,-1.194584183E-2,3.415364027E-2,7.559776306E-2
4.872748800E0,1.601934060E-2,1.489615440E-2,5.590438843E-3
4.888678975E0,2.667346224E-2,1.089346409E-2,-2.363872528E-2
4.904670186E0,3.201471642E-2,1.102560759E-2,-4.844665527E-3
4.920630880E0,-1.077275723E-3,-1.039367914E-2,6.183433533E-2
4.936622091E0,1.850448176E-2,4.472911358E-3,8.048057556E-2
4.952613301E0,1.688157022E-2,3.739714622E-3,1.038274765E-1
4.968543477E0,1.431092992E-2,2.962535620E-2,-1.166915894E-2
4.984534688E0,1.113761216E-2,3.395992517E-2,-9.585666656E-2
5.000525899E0,-1.749626920E-2,2.319180965E-2,2.119731903E-2
5.016456075E0,-1.003839262E-2,-1.164186001E-2,-1.730108261E-1
5.032416768E0,3.278676793E-2,-2.945542336E-2,2.648591995E-1
5.048346944E0,3.358242661E-2,-8.419871330E-3,1.326255798E-1
5.064368673E0,-7.054179907E-3,9.065866470E-3,-4.041223526E-1
5.080359883E0,-3.910110146E-2,-3.998637199E-3,-4.726123810E-2
5.096320577E0,2.575824037E-2,-2.111434937E-2,1.994953156E-1
5.112281270E0,1.029310971E-1,-4.935175180E-2,2.492885590E-1
5.128272481E0,7.247462124E-2,2.810275555E-2,8.552265167E-2
5.144294210E0,-3.582688421E-2,6.964683533E-2,-1.450939178E-1
